,count,values
telecom.system,1,['phone']
address.postalCode,1,['01002']
text.status,1,['generated']
identifier.value,1,['29']
meta.profile,1,['http://hl7.org/fhir/us/core/StructureDefinition/us-core-location']
address.line,1,"['3300 Washtenaw Avenue, Suite 227']"
telecom.value,1,['(+1) 734-677-7777']
meta.extension.valueMarkdown,1,['This is a HL7East example for the *US Core Location Profile*.']
managingOrganization.display,1,['Health Level Seven International']
doc_id,1,['hl7east']
status,1,['active']
position.longitude,1,[-72.519854]
identifier.system,1,['http://www.acme.org/location']
meta.extension.url,1,"['http://hl7.org/fhir/StructureDefinition/instance-description', 'http://hl7.org/fhir/StructureDefinition/instance-name']"
position.latitude,1,[42.373222]
address.state,1,['MA']
text.div,1,"['<div xmlns=""http://www.w3.org/1999/xhtml""><p><b>Generated Narrative</b></p><div style=""display: inline-block; background-color: #d9e0e7; padding: 6px; margin: 4px; border: 1px solid #8da1b4; border-radius: 5px; line-height: 60%""><p style=""margin-bottom: 0px"">Resource ""hl7east"" </p><p style=""margin-bottom: 0px"">Profile: <a href=""StructureDefinition-us-core-location.html"">US Core Location Profile</a></p></div><p><b>identifier</b>: id: 29</p><p><b>status</b>: active</p><p><b>name</b>: Health Level Seven International - Amherst</p><p><b>description</b>: HL7 Headquarters - East</p><p><b>telecom</b>: ph: (+1) 734-677-7777</p><p><b>address</b>: 3300 Washtenaw Avenue, Suite 227 Amherst MA 01002 USA </p><h3>Positions</h3><table class=""grid""><tr><td>-</td><td><b>Longitude</b></td><td><b>Latitude</b></td></tr><tr><td>*</td><td>-72.519854</td><td>42.373222</td></tr></table><p><b>managingOrganization</b>: <span>: Health Level Seven International</span></p></div>']"
meta.extension.valueString,1,['HL7East Example']
description,1,['HL7 Headquarters - East']
resourceType,1,['Location']
address.city,1,['Amherst']
name,1,['Health Level Seven International - Amherst']
address.country,1,['USA']
